type,id,name,file
brand,189aa6ea-c037-400b-0b2b-08de3fbad2da,FAYWA,brands/faywa.svg
brand,840f9825-4c04-4e09-0b29-08de3fbad2da,Geman,brands/geman.svg
brand,a91d5a8d-feb4-4f80-71fd-08de4517b798,GFive,brands/gfive.svg
brand,5b5ff27f-121d-4462-18c1-08de415653a5,Good Life,brands/good-life.svg
brand,51e9b4a3-d6c4-48df-e4f2-08de43dc3d47,Gresso,brands/gresso.svg
brand,efc1dcce-5fd5-42e1-0b36-08de3fbad2da,GTS,brands/gts.svg
brand,2a15655e-9df7-4913-bf08-08de6b2614bb,Gull Jee,brands/gull-jee.svg
brand,a4c56b47-642f-4657-0ae9-08de41f11bb1,Haino Teko,brands/haino-teko.svg
brand,f80edd76-6c1e-4c7d-2257-08de4146bd8a,HH Yes I'M,brands/hh-yes-i-m.svg
brand,4ba92115-c766-4bff-18c2-08de415653a5,HI-FI,brands/hi-fi.svg
brand,accba36c-942b-4750-5507-08de41387899,Hi-Tech,brands/hi-tech.svg
brand,c5347e7d-a7c1-4c3a-0b32-08de3fbad2da,Hotmai,brands/hotmai.svg
brand,73a36205-4082-49a4-0b3f-08de3fbad2da,HP,brands/hp.svg
brand,5a4dd875-cdf5-4948-0b1b-08de3fbad2da,Huawei,brands/huawei.svg
brand,e22cd970-bbc2-4421-ac2a-08de412ca10d,IJM,brands/ijm.svg
brand,080baf4b-7947-4339-0b17-08de3fbad2da,Infinix,brands/infinix.svg
brand,da232f1c-8c12-4800-2256-08de4146bd8a,Intec,brands/intec.svg
brand,4ba42a36-16df-4aeb-0b1d-08de3fbad2da,iPhone,brands/iphone.svg
brand,0bb31e47-8e88-4d04-6846-08de6c6aa28b,IPhone M,brands/iphone-m.svg
brand,0b98e6b2-4d44-459f-0b39-08de3fbad2da,IT,brands/it.svg
brand,8d5adc72-4b2a-4027-0b19-08de3fbad2da,Itel,brands/itel.svg
brand,9dd43139-efe0-4a24-0b3b-08de3fbad2da,Jazz,brands/jazz.svg
brand,b622216d-e6e1-43fe-0b38-08de3fbad2da,JBL,brands/jbl.svg
brand,5e340fa0-6979-4fd4-0b28-08de3fbad2da,Jcell,brands/jcell.svg
brand,99517d5d-efec-41f6-7204-08de4517b798,JECK,brands/jeck.svg
brand,da212f6b-cb4b-4603-0aee-08de41f11bb1,JOYROOM,brands/joyroom.svg
brand,8d4d98e8-0734-4ee8-0b22-08de3fbad2da,KADA,brands/kada.svg
brand,28c71b4b-13b5-4c9d-0b40-08de3fbad2da,KT,brands/kt.svg
brand,c3efbfd3-eebe-4900-0b35-08de3fbad2da,KTS,brands/kts.svg
brand,81c3f23d-1ba3-460f-d6bc-08de712ae6b3,L G  M,brands/l-g-m.svg
brand,eedda3f4-f4b3-45f5-18bd-08de415653a5,Langsdom,brands/langsdom.svg
brand,1b186435-e06a-4065-71fb-08de4517b798,Lava,brands/lava.svg
brand,cf8de12a-07cf-4f4b-18c0-08de415653a5,LELISU,brands/lelisu.svg
brand,480e8fe8-1035-4c08-0b20-08de3fbad2da,LMA,brands/lma.svg
brand,10784772-11ff-448c-0aef-08de41f11bb1,LOT,brands/lot.svg
brand,83860c02-a0ca-4908-0b25-08de3fbad2da,Mechanic,brands/mechanic.svg
brand,2b3e5706-cf3d-4233-71fc-08de4517b798,Motrola,brands/motrola.svg
brand,ca81aa0d-c9c5-4dab-0b3d-08de3fbad2da,MT,brands/mt.svg
